Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2021,"Bank of America, National Association",Form G,Depository Locations,"7126 W North Ave., Chicago, IL 60707",,17031250500,POINT (-87.80347 41.9092)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,"7131 S Jeffery Blvd, Ste E",60649-2433,,POINT (-87.5763 41.7654)
2022,U.S. Bank,Form G,Depository Location,451 S Schmale Rd,,8417.03,POINT (-88.10632 41.89083)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,7150 Mannheim Road,,17031770602,POINT (-87.88573 42.00932)
2022,Bank of America,Form G,Depository Location,6115 S Pulaski Rd,,17031650100,POINT (-87.72284 41.78176)
2021,BMO Harris Bank National Association,Form G,Depository Locations,111 West Monroe Street,,17031839100,POINT (-87.63148 41.88068)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2 N LaSalle St,60602-3702,,POINT (-87.63241 41.88229)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1809 W Lawrence Ave,60640,,POINT (-87.67533 41.96856)
2021,Citibank N.A.,Form G,Depository Locations,5812 S ELLIS AVE CHICAGO IL 60637,,8362,POINT (-87.60128 41.78993)
2022,U.S. Bank,Form G,Depository Location,1382 E Prairie Ave,,8062.02,POINT (-87.62094 41.86448)
2022,Citibank N.A.,Form G,Depository Location,1 E OAK ST,,17031081201,POINT (-87.62804 41.90077)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2310 W 95th St,60643-1004,,POINT (-87.68022 41.72167)
2022,Fifth Third Bank N.A,Form G,Depository Location,2504 West Cermak,,17031840700,POINT (-87.68833 41.852)
2021,"Bank of America, National Association",Form G,Depository Locations,"5200 W Fullerton Ave., Chicago, IL 60639",,17031190702,POINT (-87.75744 41.92411)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,1400 W 18TH ST,,17031310600,POINT (-87.66151 41.85786)
2021,"PNC Bank, National Association",Form G,Depository Locations,"6401 N HARLEM AVE CHICAGO, IL 60631",,17031100200,POINT (-87.80679 41.99709)
2021,Huntington National Bank,Form G,Depository Locations,"20 N Clark St, Chicago, IL, 60602",,17031839100,POINT (-87.63091 41.88248)
2021,"Bank of America, National Association",Form G,Depository Locations,"1167 N State St., Chicago, IL 60610",,17031081202,POINT (-87.6287 41.90378)
2022,U.S. Bank,Form G,Depository Location,3214 N Broadway St,,0620.00,POINT (-87.64442 41.94066)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,743 N PULASKI RD,,17031231500,
2022,U.S. Bank,Form G,Depository Location,1000 E 111th St,,5002.00,POINT (-87.60064 41.69287)
2021,"PNC Bank, National Association",Form G,Depository Locations,"1955 N DAMEN AVE CHICAGO, IL 60647",,17031831000,POINT (-87.67761 41.91756)
2021,Citibank N.A.,Form G,Depository Locations,8650 S STONY ISLAND AVE CHICAGO IL 60617,,8343,POINT (-87.58593 41.73712)
2022,U.S. Bank,Form G,Depository Location,1103 E 9th St,,8806.01,POINT (-87.58987 41.51483)
2022,Bank of America,Form G,Depository Location,3350 W Diversey Ave,,17031210602,POINT (-87.71173 41.93224)
2022,Citibank N.A.,Form G,Depository Location,2001 N HALSTED ST,,17031071200,
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4843 N Kedzie Ave,,170311401.00,POINT (-87.70852 41.96993)
2021,BMO Harris Bank National Association,Form G,Depository Locations,1620 W 95th St,,17031730300,POINT (-87.66348 41.72141)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3033 N Pulaski Rd,60641-5444,,POINT (-87.72709 41.93643)
2021,Citibank N.A.,Form G,Depository Locations,1751 W 47TH ST CHICAGO IL 60609,,6113,POINT (-87.66938 41.80855)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1606 East 79th Street,,17031834200,POINT (-87.58495 41.7515)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1204 E 53rd St,60615-4008,,POINT (-87.59646 41.79946)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5606 W Montrose Ave,,170311504.01,POINT (-87.76762 41.9611)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,6350 N McCormick Rd,60659-1308,,POINT (-87.71187 41.9966)
2022,Huntington,Form G,Depository Location,"20 N Clark St, Chicago, IL, 60602",,17031839100,POINT (-87.63091 41.88248)
