"Address","Date.of.Acquisition","Latitude","Longitude"
"541 E 46TH ST","02/03/1975",41.8110136,-87.6121369
"1832 S SAWYER AVE","12/22/1993",41.8562851,-87.7069495
"212 W 110TH ST","",41.6946022,-87.6285738
"7671 S SOUTH CHICAGO AVE","09/18/2001",41.7556247,-87.5904905
"12139 S UNION AVE","03/01/2005",41.6730121,-87.6388445
"5612 S LAFLIN ST","07/22/2013",41.791703,-87.6624459
"1537 E 93RD ST","03/21/2006",41.7257064,-87.586924
"830 N CHRISTIANA AVE","",41.8964188,-87.710083
"2420 N LINDER AVE","",41.9246659,-87.7636986
"4350 W VAN BUREN ST","09/17/2003",41.8754121,-87.7348474
"1927 S SAWYER AVE","05/16/2011",41.8546013,-87.706201
"10200 S PARNELL AVE","03/12/1998",41.7086991,-87.6371615
"300 E 29TH ST","02/06/1917",41.8422918,-87.6200385
"11731 S CALUMET AVE","07/29/2010",41.6804754,-87.6143705
"847 N HAMLIN AVE","",NA,NA
"823 W 117TH ST","",41.6811364,-87.6430127
"3211 E 92ND ST","09/02/2003",41.7280114,-87.5463374
"1311 S SAWYER AVE","10/21/2002",41.8641642,-87.7064709
"5741 S PERRY AVE","",41.7896911,-87.6274562
"1111 W 110TH ST","",41.6938204,-87.6502256
"9040 S HOUSTON AVE","",41.7306576,-87.5502874
"3343 W IOWA ST","",NA,NA
"2303 S SPRINGFIELD AVE","12/03/2001",NA,NA
"4301 S WOOD ST","10/06/1994",41.8157101,-87.6696631
"5403 S WABASH AVE","07/07/1997",41.7964637,-87.6236549
"1825 S SAWYER AVE","",41.8566316,-87.7062577
"1900 S SAWYER AVE","08/08/2006",41.8552836,-87.7069214
"8208 S HOUSTON AVE","",41.746159,-87.5507198
"6222 S WOLCOTT AVE","04/28/2005",41.780473,-87.6718641
"1108 E 133RD ST","10/19/2007",41.6528371,-87.5944112
"5517 W WEST END AVE","02/05/2001",41.8840522,-87.7640285
"1254 S KARLOV AVE","02/28/1978",41.8644317,-87.7279224
"1903 S SAWYER AVE","",41.8552186,-87.7062182
"6138 S HERMITAGE AVE","",41.781906,-87.6682678
"415 S KILBOURN AVE","",41.8746244,-87.7373976
"1702 N MONTICELLO AVE","10/08/2012",41.9120013,-87.7181393
"2943 W FULTON ST","01/28/1999",41.8861437,-87.7005648
"2433 W CONGRESS PKWY","01/28/1969",41.8748788,-87.6876452
"3724 W LE MOYNE ST","09/24/1973",41.9084065,-87.720234
"5403 S MARSHFIELD AVE","02/13/1983",41.7956512,-87.6655057
"346 W 110TH PL","12/09/2009",41.6936507,-87.6321572
"4232 S WELLS ST","11/14/2003",NA,NA
"1906 W 63RD ST","10/01/1982",41.7796164,-87.6724471
"338 W 109TH ST","04/08/1985",41.6963857,-87.6319541
"3262 W WALNUT ST","10/16/2000",41.8856242,-87.7086711
"1923 S TROY ST","11/14/1986",41.8546833,-87.7037709
"342 W 109TH ST","10/02/2009",41.6963835,-87.6321375
"1138 N CHRISTIANA AVE","02/26/2014",41.9020977,-87.710907
"6527 S STEWART AVE","11/17/1998",41.775706,-87.634438
"4444 S SAINT LAWRENCE AVE","04/21/1975",41.8135995,-87.6119047
"1846 W 63RD ST","02/05/2002",41.7796388,-87.6709072
"1904 W 63RD ST","10/01/1982",41.7796164,-87.6724471
"12127 S UNION AVE","09/30/2005",41.6733703,-87.6389406
"5021 S WABASH AVE","",41.8030895,-87.6238235
"3351 W DOUGLAS BLVD","",41.8621235,-87.7099774
"2848 W FULTON ST","12/18/1997",NA,NA
"3264 W WALNUT ST","10/12/2000",41.885623,-87.7087592
"12119 S UNION AVE","01/12/2006",41.6736077,-87.6390043
"6705 S SANGAMON ST","",41.77222,-87.6478853
"1736 N RIDGEWAY AVE","",NA,NA
"6728 S RHODES AVE","07/05/2006",41.7721178,-87.6121424
"12121 S UNION AVE","08/29/2002",41.6735394,-87.638986
"929 N HAMLIN AVE","10/17/2014",41.8981224,-87.7209296
"2126 S MILLARD AVE","10/05/1981",41.8530243,-87.7166035
"12111 S UNION AVE","09/30/2005",41.6736931,-87.6390201
"4224 S WELLS ST","11/14/2003",41.8174117,-87.632724
"4007 S  DEARBORN               ST","",41.8216298,-87.6272067
"4616 S CHAMPLAIN AVE","",41.8107025,-87.6105997
"1608 S SAWYER AVE","12/24/2001",41.8587331,-87.707018
"4214 W FIFTH AVE","10/14/1977",41.8716852,-87.7310031
"901 W 51ST ST","05/25/2004",41.8012892,-87.6479375
"2019 W WASHINGTON BLVD","",41.8828707,-87.6775117
"4156 S WENTWORTH AVE","",41.8183179,-87.6315549
"3034 W FIFTH AVE","03/10/1977",41.8795519,-87.7025394
"6618 S SEELEY AVE","10/02/2016",41.7732683,-87.6753174
"718 N KEDZIE AVE","",41.894339,-87.70687
"4316 W CORTEZ ST","11/14/2005",41.9000613,-87.7343466
"1637 S SPAULDING AVE","",41.8579056,-87.7075239
"1834 W 63RD ST","04/15/2005",41.7795611,-87.6704925
"6207 S MARSHFIELD AVE","03/24/2005",41.7809356,-87.6651262
"1228 S KEELER AVE","",41.8651437,-87.7303913
"1500 S HOMAN AVE","",41.8607313,-87.7107299
"9006 S MACKINAW AVE","",41.7316374,-87.5433375
"7101 S NORMAL BLVD","02/22/1996",41.7650989,-87.6367465
"5701 S MORGAN ST","",NA,NA
"6800 S CARPENTER ST","02/03/1975",NA,NA
"5759 S MAY ST","08/02/2006",41.7888523,-87.653176
"10549 S WABASH AVE","09/18/2001",41.7020602,-87.6218384
"5751 S UNION AVE","",41.7892136,-87.6422437
"7038 S EGGLESTON AVE","",41.7658837,-87.6362969
"4232 S WELLS ST","",NA,NA
"3947 W ONTARIO ST","",41.8921385,-87.725296
